,time,open,high,low,close,volume,ticker
285,2016-03-02,10570,10660,10550,10640,811910,FPT
286,2016-03-03,10670,10760,10660,10660,831440,FPT
287,2016-03-04,10620,10760,10620,10700,855930,FPT
288,2016-03-07,10700,10780,10620,10620,731820,FPT
289,2016-03-08,10620,10640,10470,10470,1138510,FPT
290,2016-03-09,10430,10530,10430,10470,406000,FPT
291,2016-03-10,10550,10550,10460,10530,278390,FPT
292,2016-03-11,10570,10670,10570,10600,752610,FPT
293,2016-03-14,10740,10780,10640,10640,1011740,FPT
294,2016-03-15,10670,10720,10600,10600,545350,FPT
295,2016-03-16,10600,10640,10570,10600,492970,FPT
296,2016-03-17,10620,10670,10600,10600,630200,FPT
297,2016-03-18,10720,10890,10700,10760,2537440,FPT
298,2016-03-21,10760,10800,10700,10740,708370,FPT
299,2016-03-22,10700,10720,10640,10640,630690,FPT
300,2016-03-23,10640,10700,10600,10640,573490,FPT
301,2016-03-24,10660,10670,10570,10570,831940,FPT
302,2016-03-25,10530,10570,10390,10460,1134790,FPT
303,2016-03-28,10550,10550,10460,10470,402090,FPT
304,2016-03-29,10470,10470,10350,10360,731100,FPT
305,2016-03-30,10300,10460,10300,10360,595920,FPT
306,2016-03-31,10360,10470,10280,10280,623130,FPT
307,2016-04-01,10280,10300,10200,10220,530180,FPT
308,2016-04-04,10200,10260,10200,10220,370410,FPT
309,2016-04-05,10220,10300,10200,10260,286440,FPT
310,2016-04-06,10260,10350,10240,10350,288080,FPT
311,2016-04-07,10360,10460,10350,10430,485800,FPT
312,2016-04-08,10390,10470,10390,10390,312220,FPT
313,2016-04-11,10430,10530,10360,10460,814800,FPT
314,2016-04-12,10470,10470,10360,10410,393630,FPT
315,2016-04-13,10390,10430,10360,10390,568090,FPT
316,2016-04-14,10360,10430,10360,10360,572360,FPT
317,2016-04-15,10390,10410,10300,10300,712110,FPT
318,2016-04-19,10300,10360,10260,10260,545970,FPT
319,2016-04-20,10260,10300,10240,10280,878290,FPT
320,2016-04-21,10330,10360,10280,10330,496340,FPT
321,2016-04-22,10330,10430,10280,10430,829700,FPT
322,2016-04-25,10470,10550,10430,10460,562230,FPT
323,2016-04-26,10460,10470,10360,10460,333520,FPT
324,2016-04-27,10470,10510,10360,10410,593060,FPT
325,2016-04-28,10470,10760,10410,10570,3007080,FPT
326,2016-04-29,10570,10640,10550,10620,614320,FPT
327,2016-05-04,10510,10550,10410,10510,771190,FPT
328,2016-05-05,10460,10570,10430,10430,908780,FPT
329,2016-05-06,10430,10470,10360,10360,693360,FPT
330,2016-05-09,10390,10430,10300,10300,605810,FPT
331,2016-05-10,10280,10360,10260,10330,465650,FPT
332,2016-05-11,10410,10430,10330,10410,290200,FPT
333,2016-05-12,10460,10460,10350,10350,412430,FPT
334,2016-05-13,10360,10390,10300,10350,393240,FPT
335,2016-05-16,10350,10360,10300,10330,310390,FPT
